file_size,total_time_taken,average_time_taken
195,0.051765,0.00026546153846153847
196,0.061029,0.0003113724489795918
197,0.049905,0.0002533248730964467
198,0.039491,0.00019944949494949494
199,0.073978,0.000371748743718593
200,0.065944,0.00032972000000000003
201,0.065137,0.00032406467661691543
202,0.054881,0.0002716881188118812
203,0.040712,0.00020055172413793103
204,0.048857,0.00023949509803921569
205,0.035534,0.00017333658536585367
206,0.039647,0.0001924611650485437
207,0.055925,0.00027016908212560385
208,0.049767,0.00023926442307692307
209,0.040593,0.0001942248803827751
210,0.041675,0.00019845238095238094
211,0.059385,0.00028144549763033176
212,0.067949,0.0003205141509433962
213,0.054465,0.00025570422535211267
214,0.040799,0.00019064953271028038
215,0.057836,0.00026900465116279067
216,0.060847,0.0002816990740740741
217,0.064131,0.0002955345622119815
218,0.073131,0.0003354633027522936
219,0.045192,0.00020635616438356165
220,0.050141,0.00022791363636363634
221,0.036539,0.0001653348416289593
222,0.073045,0.00032903153153153155
223,0.080067,0.00035904484304932733
224,0.043563,0.00019447767857142857
225,0.042452,0.00018867555555555554
226,0.039434,0.0001744867256637168
227,0.041696,0.0001836828193832599
228,0.042476,0.00018629824561403508
229,0.039342,0.0001717991266375546
230,0.033395,0.00014519565217391305
231,0.042536,0.00018413852813852811
232,0.036404,0.00015691379310344827
233,0.054392,0.00023344206008583693
234,0.048896,0.00020895726495726496
235,0.046678,0.00019862978723404255
236,0.055823,0.00023653813559322033
237,0.045044,0.00019005907172995782
238,0.037535,0.00015771008403361343
239,0.042541,0.0001779958158995816
240,0.035099,0.00014624583333333334
241,0.061294,0.00025433195020746886
242,0.057681,0.0002383512396694215
243,0.043649,0.0001796255144032922
244,0.036745,0.00015059426229508196
245,0.035561,0.0001451469387755102
246,0.03858,0.00015682926829268295
247,0.04743,0.00019202429149797572
248,0.042521,0.00017145564516129035
249,0.039402,0.0001582409638554217
250,0.0357,0.0001428
251,0.036365,0.00014488047808764942
252,0.037592,0.00014917460317460317
253,0.038587,0.00015251778656126484
254,0.05463,0.0002150787401574803
255,0.060979,0.00023913333333333334
256,0.065124,0.000254390625
257,0.043631,0.0001697704280155642
258,0.037479,0.0001452674418604651
259,0.036352,0.00014035521235521237
260,0.035537,0.00013668076923076922
261,0.035365,0.00013549808429118775
